Category,Food Description,N,Adenine,,,,Guanine,,,,Hypoxanthine,,,,Xanthine,,,,Total ,Citation/ Reference1,Country of Origin for Sample
,,,"Mean (mg/100 g wet weight, edible portion)",Standard Error of the Mean,Minimum,Maximum,"Mean (mg/100 g wet weight, edible portion)",Standard Error of the Mean,Minimum,Maximum,"Mean (mg/100 g wet weight, edible portion)",Standard Error of the Mean,Minimum,Maximum,"Mean (mg/100 g wet weight, edible portion)",Standard Error of the Mean,Minimum,Maximum,Total of 4 Purine Bases (mg/100 g),,
Beef Organ Products,"Beef brain, raw",1,12,-,-,-,12,-,-,-,26,-,-,-,112,-,-,-,162,e,USA
Beef Organ Products,"Beef heart, raw",1,15,-,-,-,16,-,-,-,38,-,-,-,102,-,-,-,171,e,USA
Beef Organ Products,"Beef kidney, cooked",1,95.8,-,-,-,97.3,-,-,-,16.2,-,-,-,21.5,-,-,-,230.8,a,Canada
Beef Organ Products,"Beef kidney, raw",1,42,-,-,-,47,-,-,-,63,-,-,-,61,-,-,-,213,e,USA
Beef Organ Products,"Beef liver, raw",1,62,-,-,-,74,-,-,-,61,-,-,-,0,-,-,-,197,e,USA
Beef (other than organs),"Beef roast, cooked (unspecified)",1,14.7,-,-,-,14.8,-,-,-,84.1,-,-,-,11.2,-,-,-,124.8,a,Canada
Beef (other than organs),"Beef sirloin, raw",1,14.9,-,-,-,15.9,-,-,-,85.6,-,-,-,8.4,-,-,-,124.8,a,Canada
Beef (other than organs),"Beef, ground, cooked",1,7.2,-,-,-,12.9,-,-,-,59.1,-,-,-,10.7,-,-,-,89.9,a,Canada
Cereal grains and grain-based products,"Bread, crusty (baguette)",1,5.9,-,-,-,8,-,-,-,0,-,-,-,1.8,-,-,-,15.7,a,Canada
Cereal grains and grain-based products,"Bread, white",1,5,-,-,-,6.3,-,-,-,0,-,-,-,0.9,-,-,-,12.2,a,Canada
Cereal grains and grain-based products,Corn cereal,1,0,-,-,-,1,-,-,-,0,-,-,-,0,-,-,-,1,a,Canada
Cereal grains and grain-based products,"Rice, white, cooked",1,2.1,-,-,-,3.2,-,-,-,0,-,-,-,0.6,-,-,-,5.9,a,Canada
Cereal grains and grain-based products,Whole-grain wheat flour,1,4,-,-,-,5.3,-,-,-,0,-,-,-,2.2,-,-,-,11.5,a,Canada
Dairy and Eggs,"Cheese, cottage",1,4,-,-,-,3.7,-,-,-,0,-,-,-,0.3,-,-,-,8.0,a,Canada
Dairy and Eggs,"Cheese, processed",1,0,-,-,-,2,-,-,-,0,-,-,-,0,-,-,-,2,a,Canada
Dairy and Eggs,"Yogurt, plain",1,2.7,-,-,-,3.9,-,-,-,0,-,-,-,0.4,-,-,-,7.0,a,Canada
Finfish and shellfish,"Anchovy, canned",1,0,-,-,-,39,-,-,-,14,-,-,-,268,-,-,-,321,e,USA
Finfish and shellfish,"Anchovy, raw",1,8,-,-,-,185,-,-,-,6,-,-,-,212,-,-,-,411,e,USA
Finfish and shellfish,"Clams, canned",1,30,-,-,-,5,-,-,-,7,-,-,-,20,-,-,-,62,e,USA
Finfish and shellfish,"Clams, raw",1,14,-,-,-,24,-,-,-,12,-,-,-,86,-,-,-,136,e,USA
Finfish and shellfish,"Herring, canned",1,15,-,-,-,180,-,-,-,6,-,-,-,177,-,-,-,378,e,USA
Finfish and shellfish,"Mackerel, canned",1,23,-,-,-,109,-,-,-,16,-,-,-,98,-,-,-,246,e,USA
Finfish and shellfish,"Mackerel, raw (unspecified)",1,11,-,-,-,26,-,-,-,5,-,-,-,152,-,-,-,194,e,USA
Finfish and shellfish,"Oysters, canned",1,39,-,-,-,22,-,-,-,30,-,-,-,16,-,-,-,107,e,USA
Finfish and shellfish,"Salmon, canned",1,23,-,-,-,39,-,-,-,13,-,-,-,13,-,-,-,88,e,USA
Finfish and shellfish,"Salmon, mixed species, raw",1,26,-,-,-,80,-,-,-,11,-,-,-,133,-,-,-,250,e,USA
Finfish and shellfish,"Sardine, canned",1,19,-,-,-,95,-,-,-,30,-,-,-,255,-,-,-,399,e,  USA
Finfish and shellfish,"Sardine, raw",1,6,-,-,-,118,-,-,-,6,-,-,-,215,-,-,-,345,e,USA
Finfish and shellfish,"Shrimp, raw, frozen (no further unspecified)",1,16,-,-,-,12,-,-,-,15,-,-,-,191,-,-,-,234,e,USA
Finfish and shellfish,"Squid, raw (unspecified)",1,18,-,-,-,15,-,-,-,24,-,-,-,78,-,-,-,135,e,USA
Finfish and shellfish,"Tuna, canned",1,27,-,-,-,13,-,-,-,11,-,-,-,91,-,-,-,142,e,USA
Finfish and shellfish,"Whitefish, raw",2,7.25,-,7.2,7.3,18.9,-,18.7,19.1,95,-,87.3,103,1.1,-,trace,2.2,122.3,a,Canada
"Lamb, veal, and game organ products","Lamb heart, raw",1,30,-,-,-,23,-,-,-,20,-,-,-,98,-,-,-,171,e,USA
"Lamb, veal, and game organ products","Lamb liver, raw",1,32,-,-,-,43,-,-,-,54,-,-,-,18,-,-,-,147,e,USA
"Lamb, veal, and game (other than organs)","Lamb chops and roast, raw",1,19.4,-,-,-,20.7,-,-,-,87.4,-,-,-,0,-,-,-,127.5,a,Canada
"Lamb, veal, and game (other than organs)","Veal cutlet, cooked",1,11.8,-,-,-,18.7,-,-,-,101,-,-,-,11.2,-,-,-,142.7,a,Canada
Legumes and legume products,"Beans, adzuki, dried, raw",1,54,-,-,-,51,-,-,-,15,-,-,-,42,-,-,-,162,e,USA
Legumes and legume products,"Beans, cranberry, dried, raw",1,21,-,-,-,19,-,-,-,23,-,-,-,12,-,-,-,75,e,USA
Legumes and legume products,"Beans, great northern, dried, raw",1,56,-,-,-,68,-,-,-,25,-,-,-,64,-,-,-,213,e,USA
Legumes and legume products,"Beans, pinto, dried, raw",1,57,-,-,-,54,-,-,-,16,-,-,-,44,-,-,-,171,e,USA
Legumes and legume products,"Beans, small white, dried, raw",1,59,-,-,-,74,-,-,-,25,-,-,-,44,-,-,-,202,e,USA
Legumes and legume products,"Blackeye peas, dried, raw",1,77,-,-,-,80,-,-,-,32,-,-,-,41,-,-,-,230,e,USA
Legumes and legume products,"Chickpeas (garbanzo beans), dried, raw",1,17,-,-,-,14,-,-,-,18,-,-,-,7,-,-,-,56,e,USA
Legumes and legume products,"Lentils, dried, raw",1,104,-,-,-,82,-,-,-,20,-,-,-,16,-,-,-,222,e,USA
Legumes and legume products,"Lima beans, baby, dried, raw",1,46,-,-,-,39,-,-,-,25,-,-,-,34,-,-,-,144,e,USA
Legumes and legume products,"Lima beans, large, dried, raw",1,42,-,-,-,41,-,-,-,14,-,-,-,52,-,-,-,149,e,USA
Legumes and legume products,"Peas, split, dried, raw",1,88,-,-,-,74,-,-,-,11,-,-,-,22,-,-,-,195,e,USA
Pork organ products,"Pork liver, raw",1,59,-,-,-,77,-,-,-,71,-,-,-,82,-,,,289,e,USA
Pork (other than organs),"Pork roast and chops, cooked",1,13.2,-,-,-,16.2,-,-,-,90.4,-,-,-,0,-,-,-,119.8,a,Canada
Poultry organ products,"Chicken gizzard, raw",12,35.1,0.9,-,-,47.6,1.1,-,-,45.5,1.5,-,-,2.3,0.7,-,-,130.5,i,USA
Poultry organ products,"Chicken heart, raw",1,31.3,-,-,-,36.1,-,-,-,52.6,-,-,-,5.4,-,-,-,125.4,e,USA
Poultry organ products,"Chicken liver, raw",1,72,-,-,-,78,-,-,-,71,-,-,-,22,-,-,-,243,e,USA
Poultry organ products,"Chicken liver, raw",12,85.9,0.75,-,-,150.2,1.3,-,-,trace,-,-,-,trace,-,-,-,236.1,i,USA
Poultry (other than organs),"Chicken breast, raw",36,20.5,,-,-,24.6,-,-,-,129.8,-,-,-,n/a,-,-,-,45.1,"h, j",USA
Poultry (other than organs),"Chicken breast, raw",25,15.4,0.4,-,-,20.0,1.9,-,-,86.6,3.8,-,-,8.7,1.9,-,-,130.7,i,USA
Poultry (other than organs),"Chicken breast, roasted",12,25.3,-,-,-,27.2,-,-,-,126,-,-,-,-,-,-,-,178.5,j,USA
Poultry (other than organs),"Chicken breast, stewed",24,24.6,-,-,-,29.9,-,-,-,129,-,-,-,-,-,-,-,183.5,h,USA
Poultry (other than organs),"Chicken drumstick, raw",25,22,0.9,-,-,29,1.2,-,-,78.4,2.1,-,-,3.3,0.4,-,-,132.7,i,USA
Poultry (other than organs),"Chicken neck, raw",10,38.8,1.1,-,-,41,1.3,-,-,31.8,1,-,-,11.3,0.7,-,-,122.9,i,USA
Poultry (other than organs),"Chicken skin (from drumsticks and thighs), braised",24,21.1,-,-,-,27.9,-,-,-,44.8,-,-,-,-,-,-,-,93.8,h,USA
Poultry (other than organs),"Chicken skin, raw",24,13.04,-,-,-,18.8,-,-,-,27.1,-,-,-,n/a,-,-,-,58.9,h,USA
Poultry (other than organs),"Chicken skin, raw",25,28.2,1.1,-,-,39.2,1.2,-,-,35.2,1.4,-,-,3.7,0.4,-,-,106.3,i,USA
Poultry (other than organs),"Chicken thigh, raw",65,20.9,0.32,19,25.3,25.4,0.1,24.6,26.6,90.9,1.32,77.6,99.7,4.5,0.8,-,-,141.7,"h,i,j",USA
Poultry (other than organs),"Chicken thigh, roasted",16,29.5,-,-,-,33.3,-,-,-,86.1,-,-,-,-,-,-,-,148.9,j,USA
Poultry (other than organs),"Chicken thigh, stewed",24,22.6,-,-,-,28.5,-,-,-,95.2,-,-,-,-,-,-,-,146.3,h,USA
Poultry (other than organs),"Chicken, ground, raw",1,24.7,-,-,-,22,-,-,-,112,-,-,-,0,-,-,-,158.7,g,Canada
Poultry (other than organs),"Poultry, mechanically deboned, from backs and necks with skin, raw",10,31.1,0.9,-,-,33.3,0.9,-,-,22.2,1.1,-,-,7.0,0.2,-,-,93.6,i,USA
Poultry (other than organs),"Poultry, mechanically deboned, from backs and necks with skin, raw",2,18.9,-,-,-,22.0,-,-,-,30.4,-,-,-,1.6, -,-,-,72.9,g,Canada
Poultry (other than organs),"Poultry, mechanically deboned, from mature hens, raw",3,21.9,2.4,17.3,25.4,25.8,3.9,18.3,31.1,31.0,1.3,28.9,33.3,1.1,0.2,0.7,1.5,79.8,g,Canada
Poultry (other than organs),"Turkey, ground, raw",1,13.1,-,-,-,11.6,-,-,-,71.3,-,-,-,0,-,-,-,96.0,g,Canada
Poultry (other than organs),"Turkey, mechanically deboned, from turkey frames, raw",1,18.7,-,-,-,17.9,-,-,-,41.2,-,-,-,1.28,-,-,-,79.1,g,Canada
Sausages and luncheon meats,Luncheon meat (unspecified),1,11.6,-,-,-,13.4,-,-,-,32.4,-,-,-,0.9,-,-,-,58.3,a,Canada
Vegetables,"Mushrooms (not further specified), raw",1,18.8,-,-,-,27.1,-,-,-,0,-,-,-,1,-,-,-,46.9,a,Canada
Vegetables,"Mushrooms, canned",1,12,-,-,-,12.6,-,-,-,0,-,-,-,0,-,-,-,24.6,a,Canada
n/a= not available; ND=not detected; trace=reported amount,,,,,,,,,,,,,,,,,,,,,
1Sources of data:,,,,,,,,,,,,,,,,,,,,,
"a - Brulé, D., et al. (1988). ",,,,,,,,,,,,,,,,,,,,,
"e - Clifford, A.J., & Story, D.L. (1976). ",,,,,,,,,,,,,,,,,,,,,
"g - Sarwar, G., et al. (1985). ",,,,,,,,,,,,,,,,,,,,,
"h - Young, L. (1983). ",,,,,,,,,,,,,,,,,,,,,
"i - Young, L. (1980). ",,,,,,,,,,,,,,,,,,,,,
"j - Young, L. (1982).",,,,,,,,,,,,,,,,,,,,,